Equipment,Latest k,P(k<1.0) %,Risk,Priority
CBP30,1.281149986598141,17.055025807335443,High Wear-Out,1 (Critical)
Meurer,1.7139027951124248,0.21783464569943475,High Wear-Out,1 (Critical)
Helix,0.6672097010254447,81.395319993247,Stabilized,3 (Routine)
SA30,0.4717121740191961,82.02044691721837,Stabilized,3 (Routine)
Main Line,0.8969548298667005,61.55447119295568,Random,2 (Watch)
