,k
2025-09-30,2.220269251467656
2025-10-07,0.8443414561973829
2025-10-14,0.8025524137130591
2025-10-21,0.8025524137130591
2026-02-24,0.559134256691923
2026-03-03,0.6574548993720281
2026-03-10,0.6368888768321697
2026-03-17,0.6918662250320774
2026-03-24,0.7107235325216372
2026-03-31,0.7645405919448595
2026-04-07,0.7483970253037738
2026-04-14,0.801402064575838
2026-04-21,0.7892681891304694
2026-04-28,0.7221255136136832
2026-05-05,0.7921300578785151
2026-05-12,0.9886572859521641
2026-05-19,1.6434839218793251
2026-05-26,0.4296791766027633
2026-06-02,0.4681791827345039
